Qubit ID,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
fr (GHz),6.048,6.169,5.949,6.101,5.999,6.001,6.101,5.95,6.173,6.052
fq (GHz),3.609,3.637,3.873,3.934,3.968,4.205,3.861,3.79,3.715,3.621
T1 (us),---,---,32.8 ± 2.41,41.8 ± 3.74,31.7 ± 5.35,42.4 ± 5.15,37.3 ± 4.02,34.1 ± 3.47,---,---
T2* (us),---,---,1.5 ± 0.29,7.4 ± 2.28,6.9 ± 0.81,2.7 ± 0.74,2.3 ± 1.14,5.4 ± 0.69,---,---
T2 (us),---,---,7.2 ± 0.52,12.9 ± 0.95,9.0 ± 1.41,7.3 ± 0.49,8.3 ± 1.12,10.9 ± 0.87,---,---
RO_fidelity,0.672,0.654,0.948,0.955,0.969,0.97,0.953,0.944,0.912,0.924
Teff (mK),---,---,96.6 ± 3.7,103.2 ± 3.6,86.0 ± 2.8,89.6 ± 3.0,90.6 ± 2.7,90.7 ± 3.1,---,---
tunable,X,X,O,O,O,O,O,O,O,O
