Qubit ID,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
fr (GHz),6.048,6.169,5.949,6.101,5.999,6.001,6.101,5.95,6.173,6.052
fq (GHz),3.609,3.637,3.873,3.934,3.968,4.204,3.861,3.79,3.718,3.624
T1 (us),---,---,34.1 ± 4.24,48.0 ± 4.38,40.0 ± 3.79,34.2 ± 4.65,35.5 ± 3.3,41.9 ± 4.44,26.1 ± 1.71,32.3 ± 2.48
T2* (us),---,---,6.7 ± 1.2,17.6 ± 1.55,13.6 ± 1.0,6.7 ± 3.53,18.4 ± 2.45,7.7 ± 1.49,---,---
T2 (us),---,---,8.7 ± 1.3,16.4 ± 2.38,12.9 ± 1.48,8.5 ± 0.87,11.5 ± 2.16,15.6 ± 2.25,---,---
RO_fidelity,0.672,0.654,0.955,0.97,0.974,0.957,0.962,0.958,0.885,0.926
Teff (mK),---,---,100.3 ± 3.1,102.3 ± 3.6,85.8 ± 2.4,82.4 ± 3.1,90.1 ± 3.1,96.4 ± 3.2,78.9 ± 4.3,76.2 ± 4.9
tunable,X,X,O,O,O,O,O,O,O,O
